"Term","AKA","Definition","Category","Tags","BlogLink","Slug"
"Spotlight Effect","Nobody noticed your pimple","Overestimating how much other people notice about your appearance, behavior, and mistakes. You think everyone saw you trip? They were busy worrying about whether anyone noticed them trip.","Cognitive","Cognitive, Social Cognition","","spotlight-effect"
"Bystander Effect","Someone else will handle it","The more people who witness an emergency, the less likely any one person is to help. Everyone assumes someone else will step in. Diffusion of responsibility at its most chilling.","Social","Social, Group Behavior","blog/bystander-effect.html","bystander-effect"
"Social Proof","Everyone else is doing it","Looking to others' behavior to determine what's correct. It's why laugh tracks work, why you check restaurant reviews, and why ""bestseller"" stickers sell more books. We're fancy herd animals.","Social","Social, Influence","","social-proof"
"Fundamental Attribution Error","They're a jerk / I had a bad day","When someone cuts you off in traffic, they're a terrible person. When you cut someone off, you were running late. We judge others by character and ourselves by circumstance. Every. Single. Time.","Social","Social, Attribution","","fundamental-attribution-error"
"Halo Effect","Hot people get the benefit of the doubt","If someone is attractive, competent, or likable in one way, we assume they're great in other ways too. Attractive defendants get shorter sentences. Your handsome CEO gets credited with being ""visionary."" Life is unfair.","Social","Social, Perception","","halo-effect"
"Groupthink","The meeting where nobody disagreed","When a group prioritizes consensus over critical thinking. Everyone nods along, nobody raises concerns, and then you get the Bay of Pigs invasion. Or your company's last rebrand. Same energy.","Social","Social, Group Behavior","","groupthink"
"In-Group Bias","My team is better because it's mine","Favoring people who belong to your group — even if the group was randomly assigned 5 minutes ago. In experiments, people will literally discriminate based on whether they were sorted into the ""blue team"" or ""red team."" We are absurd creatures.","Social","Social, Identity","","in-group-bias"
"Reciprocity Principle","I owe you one","When someone does something for you, you feel compelled to return the favor. This is why free samples work, why your colleague's birthday card guilts you into buying donuts, and why the Hare Krishnas give you flowers at airports.","Social","Social, Influence","","reciprocity-principle"
"Mere Exposure Effect","That song grew on me","The more you're exposed to something, the more you tend to like it. It explains why radio hits work, why you eventually love your weird neighbor, and why advertisers shove the same ad in your face 47 times.","Social","Social, Attitudes","","mere-exposure-effect"
"Attachment Theory","It all goes back to your childhood","Your early relationship with caregivers creates a blueprint for all future relationships. Secure, anxious, avoidant, or disorganized — pick your adventure. (Just kidding, it was picked for you at age 2.)","Developmental","Developmental, Relationships","blog/attachment-styles.html","attachment-theory"
"Growth Mindset","Not yet vs. never","Believing your abilities can be developed through effort and learning, as opposed to a fixed mindset (believing talent is innate). Carol Dweck's research, occasionally butchered by motivational posters everywhere.","Developmental","Developmental, Motivation","","growth-mindset"
"Theory of Mind","Other people have thoughts too","The ability to understand that other people have their own beliefs, desires, and perspectives different from yours. Develops around age 4 in children. Some adults are still working on it.","Developmental","Developmental, Cognition","","theory-of-mind"
"Erikson's Stages","Life crises, scheduled","Eight stages of psychosocial development, each with its own crisis. Trust vs. mistrust as a baby, identity vs. confusion as a teen, integrity vs. despair as you age. Basically a roadmap of existential drama from birth to death.","Developmental","Developmental, Lifespan","","eriksons-stages"
"Cognitive Behavioral Therapy (CBT)","Debugging your thoughts","A therapy approach that identifies and restructures unhelpful thought patterns. Basically, your brain is running buggy code, and CBT helps you find the bugs. It's the most evidence-backed therapy we have, and it's not even close.","Clinical","Clinical, Therapy","","cognitive-behavioral-therapy-cbt"
"Learned Helplessness","Why bother trying","When repeated exposure to uncontrollable negative events leads you to stop trying, even when you actually could escape. Seligman discovered this and then spent the rest of his career trying to fix it. That's called character development.","Clinical","Clinical, Depression","","learned-helplessness"
"Imposter Syndrome","They're going to find out I'm a fraud","The persistent feeling that you're faking your competence and will be exposed any day now. Affects roughly 70% of people at some point. If you're reading this and nodding — congratulations, you're statistically normal.","Clinical","Clinical, Self-Perception","","imposter-syndrome"
"Rumination","Your brain's infinite replay button","Repetitively thinking about the causes, consequences, and symptoms of distress without doing anything about it. It's like your brain is a terrible DJ who only plays one embarrassing song from 2003 on repeat at 3am.","Clinical","Clinical, Anxiety","","rumination"
"Placebo Effect","Your brain is the real drug","Experiencing real improvement from a treatment that has no active ingredients, purely because you believe it will work. Your brain can literally reduce pain because someone gave you a sugar pill with confidence. We are magnificent idiots.","Clinical","Clinical, Research","","placebo-effect"
"Classical Conditioning","Pavlov's dogs, and also you","Learning to associate a neutral stimulus with a meaningful one. Pavlov rang a bell before feeding dogs, and soon the bell alone made them drool. Your phone notification sound does the same thing to you. You are the dog.","Behavioral","Behavioral, Learning","","classical-conditioning"
"Operant Conditioning","Reward the rat, shape the behavior","Learning through consequences — rewards increase behavior, punishment decreases it. B.F. Skinner's framework explains why you check social media (variable reward schedule), why your dog sits on command (treats), and why you don't touch hot stoves (ouch).","Behavioral","Behavioral, Learning","","operant-conditioning"
"Hedonic Treadmill","Nothing stays exciting","The observed tendency to return to a relatively stable level of happiness despite major positive or negative life events. Won the lottery? Give it 6 months. Got dumped? Give it 6 months. Baseline is a tyrant.","Behavioral","Behavioral, Happiness","blog/hedonic-treadmill.html","hedonic-treadmill"
"Loss Aversion","Losing $20 hurts more than finding $20 feels good","Losses are psychologically about twice as powerful as gains. This is why you hold onto losing stocks, why free trials convert, and why people will fight harder to keep something than to gain something equivalent. Kahneman & Tversky's greatest hit.","Behavioral","Behavioral, Decision Making","","loss-aversion"
"Habit Loop","Cue → Routine → Reward → Repeat forever","The neurological loop that governs habits: a cue triggers a routine which delivers a reward. Understanding this loop is the key to building good habits and breaking bad ones. Also explains why you open Instagram every time you're bored.","Behavioral","Behavioral, Habits","","habit-loop"
"Big Five Personality Traits","OCEAN — your personality's five-star review","Openness, Conscientiousness, Extraversion, Agreeableness, Neuroticism. The most scientifically validated personality model. Unlike your Myers-Briggs result, this one actually predicts things. Sorry, INFJs.","Personality","Personality, Traits","","big-five-personality-traits"
"Locus of Control","Is it me or is it fate?","Whether you believe outcomes are controlled by you (internal) or by external forces (external). Internal locus: ""I aced that test because I studied."" External locus: ""I aced it because the teacher was easy."" Both can be delusional.","Personality","Personality, Control","","locus-of-control"
"Self-Serving Bias","I'm the main character","Attributing successes to your own character and failures to external factors. You got the promotion? Talent. You got fired? The company was toxic. Your brain is your biggest fan and most unreliable narrator.","Personality","Personality, Attribution","","self-serving-bias"
"Narcissism","Not just selfies","A personality trait (and at the extreme, a disorder) characterized by grandiosity, need for admiration, and lack of empathy. Exists on a spectrum. A little is healthy (confidence). A lot is... your ex. Probably.","Personality","Personality, Disorders","","narcissism"
"Neuroplasticity","Old dogs, new tricks","Your brain's ability to reorganize itself by forming new neural connections throughout life. It's the reason you can learn guitar at 40 and why London taxi drivers have unusually large hippocampi. Your brain is moldable. Use it.","Neuroscience","Neuroscience, Brain","","neuroplasticity"
"Amygdala Hijack","Why you yelled before you thought","When your amygdala (the brain's smoke alarm) triggers a fight-or-flight response before your prefrontal cortex (the rational adult) can intervene. It's why you snap at your partner and immediately think ""why did I just say that?""","Neuroscience","Neuroscience, Emotions","","amygdala-hijack"
"Dopamine","Not actually the 'pleasure chemical'","A neurotransmitter involved in motivation, reward anticipation, and learning. Contrary to pop science, it's more about wanting than liking. It's the craving, not the satisfaction. This is why scrolling feels urgent but never fulfilling.","Neuroscience","Neuroscience, Neurotransmitters","","dopamine"
"Mirror Neurons","Monkey see, monkey feel","Neurons that fire both when you perform an action and when you watch someone else do it. They may be the neural basis for empathy, learning by imitation, and why watching someone eat makes you hungry. Still debated, but very cool.","Neuroscience","Neuroscience, Empathy","","mirror-neurons"
"Default Mode Network","Your brain's screensaver","The network of brain regions active when you're not focused on the outside world — daydreaming, self-reflection, imagining the future. It's where creativity happens, but also where rumination lives. Your idle brain is busy being dramatic.","Neuroscience","Neuroscience, Brain Networks","","default-mode-network"
"Baader-Meinhof Phenomenon","Frequency illusion","Once you learn a new word or concept, you suddenly see it everywhere. You just learned ""gaslighting""? Now everyone is gaslighting everyone. The world didn't change. Your attention filter did.","Cognitive","Cognitive, Perception","","baader-meinhof-phenomenon"
"Zeigarnik Effect","Why unfinished tasks haunt you","Incomplete tasks occupy your mind more than completed ones. It's why that unanswered email nags at you, why cliffhangers work, and why writing things down on a to-do list actually reduces anxiety — your brain can finally let go.","Cognitive","Cognitive, Memory","","zeigarnik-effect"
"Cognitive Load Theory","Your brain has limited RAM","Your working memory can only handle so much at once. Overload it and performance, decision-making, and willpower all tank. This is why you make terrible food choices when mentally exhausted and why IKEA instructions feel like war.","Cognitive","Cognitive, Performance","","cognitive-load-theory"
"Pygmalion Effect","Expectations create reality","When higher expectations lead to higher performance. Teachers who believed (falsely) that certain students were gifted saw those students actually improve more. Your expectations of people literally change their behavior. Use this power wisely.","Social","Social, Education","","pygmalion-effect"
"Flow State","Being in the zone","That state of complete absorption where time disappears and everything clicks. Csikszentmihalyi found it happens when challenge meets skill at just the right level. Too easy = boredom. Too hard = anxiety. Just right = flow. It's the Goldilocks of brain states.","Clinical","Clinical, Positive Psychology","","flow-state"
"Emotional Regulation","Not losing it (on purpose)","The ability to manage and respond to emotional experiences in healthy ways. Not suppressing emotions — that backfires spectacularly. More like being the thermostat instead of the thermometer. Feel the feeling, choose the response.","Clinical","Clinical, Skills","","emotional-regulation"
